Unnamed: 0,Mean Temp,Rel Hum,Wind Spd
148,20.8,59,10
526,15.7,45,11
1487,-11.1,70,24
1821,6.9,86,17
705,2.2,86,17
1442,0.7,91,10
306,15.0,66,8
192,23.2,95,6
694,5.4,84,12
309,13.2,75,26
1465,1.2,83,13
63,-13.2,55,19
988,21.7,72,9
1816,3.1,78,19
1164,-0.9,62,18
1698,20.2,69,20
567,26.2,55,18
774,-3.8,68,27
1063,4.7,64,18
839,14.0,71,16
910,21.3,77,14
1229,16.8,66,12
1247,21.6,76,18
1163,0.3,64,27
535,26.0,41,14
1068,3.3,79,12
1632,18.8,63,16
810,3.9,57,28
218,19.5,59,12
1007,19.0,72,22
286,9.1,64,20
1470,-8.0,64,32
1512,-0.1,71,25
678,5.8,74,25
1501,-6.5,65,10
1456,-2.3,75,18
901,18.5,73,20
1355,23.5,83,10
710,-3.7,86,14
1803,7.6,90,19
1645,23.7,61,14
906,17.7,66,19
650,16.3,67,13
907,16.6,74,12
1087,-2.1,84,12
1298,20.4,85,14
1644,23.9,68,14
493,9.7,60,22
1204,1.4,61,25
277,12.4,84,7
1807,2.3,67,17
358,5.2,70,11
1523,-11.0,65,21
236,17.6,67,16
1706,18.2,83,17
1054,2.8,67,21
208,25.5,95,6
1265,19.6,61,14
1429,0.8,80,6
58,-11.8,62,11
1453,-1.3,79,18
1446,0.9,69,25
363,2.3,82,16
1160,-0.2,73,16
570,23.8,66,11
1030,8.8,75,12
1469,-1.3,69,33
1117,1.5,95,14
843,11.3,48,14
1800,-2.9,79,15
693,2.5,93,10
118,12.5,57,13
1146,9.7,94,13
813,8.0,79,13
522,20.3,65,24
513,25.3,63,11
81,-7.0,48,18
1654,23.3,68,19
859,6.7,56,9
380,-0.5,75,24
1549,2.3,83,17
84,2.5,76,14
1539,4.6,57,14
329,10.1,57,20
942,24.2,66,12
1619,18.4,36,22
809,2.7,77,10
1142,-2.0,69,23
1655,22.1,60,15
451,5.1,71,8
490,11.8,68,15
1353,24.3,77,8
287,11.5,68,20
1532,0.7,68,9
1811,-1.2,73,14
1743,12.0,78,19
1768,7.3,70,25
599,18.9,54,15
677,11.0,81,10
1755,12.9,79,21
782,3.1,73,9
1780,-6.8,67,26
1514,-1.6,74,16
327,2.5,79,12
887,13.7,83,19
1629,20.3,56,13
964,20.3,76,24
966,15.6,69,15
746,-1.9,68,10
177,15.6,77,22
706,1.1,73,21
598,21.8,64,27
86,-6.1,44,24
1285,23.6,50,16
1731,16.4,86,14
457,0.5,69,22
54,-14.5,67,25
1373,8.9,68,16
221,19.0,81,9
113,2.6,56,24
1665,21.0,56,12
1489,-8.8,70,26
