Unnamed: 0,Mean Temp,Rel Hum,Wind Spd
728,0.2,85,19
412,-6.2,68,22
1098,-9.9,61,22
825,7.0,72,20
1368,11.2,73,8
616,25.6,79,17
114,4.4,53,13
417,-2.3,51,13
1740,12.7,60,14
969,16.8,60,13
604,21.5,60,9
1747,8.6,58,16
89,1.6,65,13
848,13.5,57,18
1391,5.4,77,19
1746,10.7,59,24
753,2.2,86,18
498,16.5,69,22
1276,28.7,67,18
11,-8.9,79,22
396,4.1,71,22
284,17.9,59,17
1066,3.0,80,6
1191,0.6,75,19
690,-0.5,55,44
1604,16.6,70,17
1712,13.8,66,18
689,-0.2,70,40
851,10.1,93,13
159,18.8,74,13
895,19.5,47,14
1444,1.7,84,10
257,20.8,62,10
335,4.1,77,13
1716,17.7,81,23
1039,10.9,95,12
515,22.3,53,20
1015,11.5,79,19
768,1.4,85,17
1600,11.9,74,25
761,-4.1,75,12
1246,25.5,74,16
1203,1.8,71,21
1342,23.9,80,10
1809,-2.6,70,26
521,20.6,79,21
22,-2.4,72,22
356,8.9,91,11
1277,29.1,61,14
1544,-0.6,43,16
340,1.9,81,7
431,6.2,67,12
473,16.3,41,17
217,18.6,63,10
911,24.2,77,16
1227,11.1,38,10
1463,-1.0,76,21
1011,20.9,70,17
1776,-7.6,72,14
93,1.6,63,24
1008,15.9,61,16
1070,0.5,49,33
1092,-17.5,63,8
1454,-1.5,75,8
1308,23.7,78,17
696,4.4,75,12
1640,23.4,69,15
996,25.4,54,7
153,14.1,55,12
1099,-14.7,64,28
1578,6.1,45,21
1823,1.1,90,28
789,5.4,77,10
580,24.0,60,9
703,1.6,77,12
1212,8.5,61,11
1295,20.7,51,12
1628,17.8,65,15
1260,19.9,45,27
487,9.5,74,12
559,28.6,55,18
1141,5.3,87,15
1119,-7.9,63,25
801,-8.9,48,19
512,23.2,68,12
633,12.9,58,10
1351,20.8,76,13
1635,20.3,67,15
1150,2.9,70,14
790,5.0,86,29
116,8.2,69,25
740,2.4,86,21
1081,-10.0,73,10
830,16.7,56,22
119,12.3,60,10
656,18.8,70,27
1737,8.0,76,14
635,15.5,51,16
369,-8.9,63,12
268,15.1,69,12
655,18.8,92,11
935,19.1,74,15
822,8.8,53,15
866,12.0,63,9
46,-18.9,53,10
1568,13.9,68,18
991,21.8,80,9
876,15.2,85,13
773,-1.5,88,20
1219,16.6,80,26
1825,0.4,83,24
4,-10.1,68,33
1003,10.5,62,17
1581,6.7,86,17
263,15.2,71,11
1538,0.9,64,9
1673,20.8,53,16
443,-1.8,48,13
1002,13.3,74,22
1077,-10.1,65,18
837,6.5,64,24
1817,4.5,72,18
304,10.1,73,26
1365,13.1,72,8
1583,8.8,87,12
313,4.9,88,8
149,20.2,80,22
1148,-0.6,69,14
1213,4.5,80,24
574,25.4,56,11
50,-18.6,55,16
1421,-9.6,51,14
726,1.8,72,31
833,7.6,49,9
1377,21.2,83,8
1115,3.0,69,16
1166,-1.9,71,9
470,7.2,36,11
971,19.2,66,12
653,13.2,73,10
399,1.1,61,21
511,20.7,72,9
320,5.5,77,18
19,-9.7,61,14
684,7.2,81,6
35,-12.3,62,19
902,17.8,67,15
827,2.4,67,41
1643,23.3,75,11
407,-10.0,64,29
920,21.5,57,19
537,20.4,38,19
758,-1.7,77,24
1062,8.9,57,21
1199,-0.3,87,25
245,25.6,77,10
1127,-2.9,66,25
784,10.9,81,21
1596,11.0,76,16
489,10.9,63,12
154,16.6,70,10
961,20.5,72,21
853,9.5,47,20
1311,25.7,65,9
625,20.7,92,12
685,7.6,81,13
1649,20.2,53,14
569,28.1,44,20
1738,8.8,71,23
17,3.0,79,19
127,18.2,63,8
1346,14.6,53,13
1279,24.7,51,11
1794,-2.7,77,20
927,22.2,71,10
980,15.0,76,18
1790,6.4,76,11
190,19.9,95,6
1139,-8.2,69,9
992,23.0,79,10
1781,-2.3,68,18
1601,11.6,55,15
606,22.8,63,12
180,17.4,85,10
301,10.2,65,33
496,11.2,37,12
1556,8.8,72,10
1569,8.9,90,24
1525,-12.0,60,20
1502,-5.2,71,18
517,16.2,56,13
1810,-2.3,69,13
1069,5.4,72,29
476,9.9,56,9
157,14.8,61,12
1243,22.9,60,12
1195,1.7,63,12
16,-5.7,73,15
